question,document
"I just found this course — can I still join, or is it too late now?",74eb249bbf
"If I join late, am I still able to get a certificate somehow?",74eb249bbf
Do I need to submit the project before submissions close in order to receive the certificate?,74eb249bbf
Is it okay to start the course after it has already begun?,74eb249bbf
What’s the deadline for the final project if I want the certificate?,74eb249bbf
I signed up for LLM Zoomcamp — do I actually need to wait for a confirmation email before starting?,977bf7786c
"Does registering for the course mean I’m officially accepted, or is there some approval process later?",977bf7786c
Can I begin watching the lessons and sending homework even if I never got any confirmation after registering?,977bf7786c
"Is the course checking homework against a list of registered students, or can anyone submit while the form is open?",977bf7786c
What’s the point of the registration form if I’m allowed to start learning without it?,977bf7786c
How do I join the office hours or live workshop if I’m a student?,489dd1c9d9
Where is the livestream link for the live sessions usually announced before they start?,489dd1c9d9
"Can students get the Zoom link for office hours, or is it only for instructors and TAs?",489dd1c9d9
"If I want to ask a question during a live session, should I use chat or some other tool?",489dd1c9d9
Is there a way to watch the course live sessions without being in Zoom?,489dd1c9d9
What should I look at first if I’m just starting LLM Zoomcamp and want to keep up with the weekly work?,04919992b3
"Can I begin the course anytime, or is there a fixed start date and deadline schedule I need to follow?",04919992b3
What’s the usual week-by-week flow for this course after watching the lectures?,04919992b3
"Where do I find the lesson materials, homework instructions, and deadline info for LLM Zoomcamp?",04919992b3
"Is the homework basically the same as the lessons, or does it use different data/tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name there?,c2903069a0
Why does the leaderboard show some random name instead of my real one?,c2903069a0
Where can I check what my display name is for the course?,c2903069a0
Can I change the nickname shown on the leaderboard to my Slack or GitHub name?,c2903069a0
What do I need to enter so my certificate shows my real official name instead of the default one?,c2903069a0
"Can I take this course on my own and still get the certificate, or does it have to be with a live cohort?",69d122f12e
"If I study the lessons in self-paced mode, what else do I need to do to qualify for the certificate?",69d122f12e
"Is homework required for getting the course certificate, or is the capstone project enough?",69d122f12e
"Can I prepare the final project before the cohort is live, and then submit it later for the certificate?",69d122f12e
Do the peer reviews and project submission need to happen during an active cohort period to earn the certificate?,69d122f12e
"If I skipped the first homework, can I still earn the course certificate?",9f689c185f
